Zucca violina	 1,4 kg 
Pomodorini datterini	 150 g 
Ceci precotti	 scolati 125 g 
Fagioli cannellini precotti	 scolati 125 g 
Porri	 70 g 
Nocciole intere spellate	 50 g 
Olive nere	 denocciolate 30 g 
Aglio	 2 spicchi 
Olio extravergine d'oliva	 40 g 
Timo	 4 rametti 
Rosmarino	 4 rametti 
Origano	 fresco q.b. 
Sale fino	 q.b. 
Pepe nero	 q.b. 
