ingredient	quantity
Farina 00	225 g
Acqua a temperatura ambiente	80 g
Zucchero	37 g
Burro appena ammorbidito	30 g
Uova	17 g
Lievito di birra fresco	17 g
Farina 00 media forza (circa W 240)	375 g
Uova (circa 4 grandi)	250 g
Zucchero	70 g
Burro appena ammorbidito	40 g
Miele di acacia	30 g
Sale fino	9 g
Scorza d'arancia da grattugiare	5 g
Baccello di vaniglia i semi	1
Latte intero	375 g
Panna fresca liquida	125 g
Zucchero	140 g
Tuorli (circa 6 grandi)	120 g
Farina 00	20 g
Amido di mais (maizena)	20 g
Scorza di limone	1
Baccello di vaniglia i semi	½
Sale fino	1 g
Acqua	500 g
Zucchero	450 g
Alchermes	175 g
Sciroppo di glucosio	50 g
Arancia candita scorze	q.b.
