ingredient	quantity
Burro	100 g
Biscotti secchi (tipo Oro Saiwa)	180 g
Formaggio fresco spalmabile	600 g
Zucchero	120 g
Tuorli	4
Limoni	2
Amido di mais (maizena)	50 g
Latte intero	100 ml
Panna fresca liquida	100 ml
Albumi (circa 125 gr)	4
Zucchero	250 g
Acqua	100 ml
Sale fino	1 pizzico
Succo di limone	q.b.
