Squid	 1.25 lbs (600 g) 
Potatoes	 7 oz (200 g) 
Bread	 3 oz (90 g) 
Whole milk	 ½ cup (90 g) 
Fresh scallion	 1 
Parmigiano Reggiano PDO cheese	 1 ½ tbsp (10 g) 
Marjoram	 to taste 
Fresh turmeric	 1 ¼ tbsp (9 g) 
Eggs	 1 
Extra virgin olive oil	 ¾ tbsp (10 g) 
Fine salt	 to taste 
Black pepper	 
Natural plain yogurt	 ½ cup (130 g) 
Whipping cream	 2 tsp (10 g) 
Dill	 to taste 
Extra virgin olive oil	 to taste 
