Potatoes	 0.75 lb (350 g) 
Carrots	 0.33 lb (160 g) 
Peas	 0.33 lb (160 g) 
Zucchini	 0.33 lb (150 g) 
Yellow onions	 ½ 
Parmigiano Reggiano PDO cheese	 1 cup (100 g) - grated 
Eggs	 1 (55 g) - medium 
Garlic	 1 clove 
Parsley	 1 bunch 
Extra virgin olive oil	 to taste 
Nutmeg	 to taste 
Black pepper	 to taste 
Fine salt	 to taste 
Eggs	 to taste 
Breadcrumbs	 to taste 
Peanut seed oil	 to taste 
