ingredient	quantity
Acqua tiepida	400 ml
Sale fino	15 g
Lievito di birra fresco	10 g
Malto	1 cucchiaino
Farina Manitoba	200 g
Olio extravergine d'oliva	40 g
Farina 00	400 g
Olio extravergine d'oliva	60 g
Fiocchi di sale	q.b.
Frutti di cappero sott'aceto	30 g
Olive taggiasche denocciolate	100 g
Rosmarino	1 rametto
