ingredient	quantity
Uova (medie)	2
Zucchero	180 g
Baccello di vaniglia	1
Olio di semi	90 g
Acqua	95 g
Farina 00	150 g
Fecola di patate	40 g
Lievito in polvere per dolci	6 g
Sale fino	q.b.
Tuorli (medi)	6
Latte intero	400 g
Panna fresca liquida	100 g
Zucchero	140 g
Amido di mais (maizena)	50 g
Baccello di vaniglia	1
Gelatina in fogli	4 g
Zucchero a velo	1 kg
Acqua (calda)	4 cucchiai
Coloranti alimentari rosso, giallo e blu	q.b.
Granella di nocciole	q.b.
Matite alimentari brillanti e ciocco caramel	q.b.
Decorazione alimentare perline morbide argentate	q.b.
Fiori in ostia	25
