ingredient	quantity
Latte intero	300 g
Uova (circa 3 medie)	150 g
Farina 00	130 g
Parmigiano Reggiano DOP da grattugiare	50 g
Burro	50 g
Noce moscata	q.b.
Sale fino	q.b.
Latte intero	350 g
Groviera da grattugiare	100 g
Parmigiano Reggiano DOP da grattugiare	100 g
Burro	50 g
Farina 00	30 g
Sale fino	q.b.
Pepe nero	q.b.
Parmigiano Reggiano DOP da grattugiare	80 g
Burro	50 g
