ingredient	quantity
Coda di bue (o di vitello)	1 kg
Olio extravergine d'oliva	3 cucchiai
Cipolle	1
Carote	1
Sedano	1 costa
Aglio	2 spicchi
Prezzemolo	1 rametto
Chiodi di garofano	4
Vino bianco	400 ml
Pomodori pelati	1 kg
Sale fino	q.b.
Pepe nero	q.b.
Lardo o guanciale	100 g
Pinoli	20 g
Uvetta	30 g
Sedano bianco	3 coste
Cacao amaro in polvere	1 pizzico
