ingredient	quantity
Riso Carnaroli	500 g
Piselli surgelati	200 g
Uova sode	2
Mozzarella	150 g
Sale fino	q.b.
Uova	125 g
Costine di maiale	320 g
Biancostato di manzo	700 g
Salsiccia	340 g
Cipolle dorate	300 g
Olio extravergine d'oliva	60 g
Passata di pomodoro	700 g
Vino rosso	70 g
Acqua	300 g
Manzo (macinato)	200 g
Pane solo la mollica rafferma	75 g
Uova	1
Parmigiano Reggiano DOP da grattugiare	30 g
Sale fino	q.b.
Pepe nero	q.b.
Prezzemolo tritato	1 cucchiaino
Olio di semi di arachide per friggere	q.b.
Burro	q.b.
Pangrattato	q.b.
