ingredient	quantity
Petto di pollo (100% italiano)	300 g
Bacon	4 fette
Pomodori ramati	1
Toma (con latte 100% italiano, 4 fettine)	80 g
Panini da hamburger con semi	4
Farina 00	200 g
Acqua	330 g
Birra chiara	50 g
Scorza di limone	1
Sale fino	10 g
Maggiorana secca	q.b.
Timo secco	q.b.
Pepe bianco	q.b.
Semola di grano duro	q.b.
Pangrattato secco, macinato grossolanamente	500 g
Olio di semi di girasole	q.b.
Tuorli	1
Aceto di vino bianco	10 g
Olio di semi di girasole	220 g
Sale fino	10 g
Senape in grani	5 g
