epoch,train_loss,train_f1,train_exact,dev_loss,dev_f1,dev_exact,test_loss,test_f1,test_exact
1,0.4731424539252033,83.76932394140808,82.02676864244742,1.2864565794025697,82.5268817204301,80.64516129032258,0,0,0
2,0.05493150876071945,90.2753566807104,89.19694072657744,1.442846322732587,81.58602150537634,80.64516129032258,0,0,0
3,0.029195052530526594,93.34694481922017,92.54302103250478,1.531746678655186,82.03812316715543,80.64516129032258,0,0,0
4,0.021995619573507076,94.74252218994094,94.12045889101339,1.68372205837119,81.55547409579668,80.24193548387096,0,0,0
