epoch,train_loss,train_f1,train_exact,dev_loss,dev_f1,dev_exact,test_loss,test_f1,test_exact
0,4.650669574737549,0.0,0.0,0.0,0.0,0.0,0,0,0
1,4.342545747756958,0.0,0.0,0.0,12.5,0.0,0,0,0
2,3.98696231842041,0.0,0.0,0.0,0.0,0.0,0,0,0
3,0.0,0.0,0.0,0.0,6.25,0.0,0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0,0,0
