ingredient	quantity
Farina mix di manitoba e	0050 g
Zucchero	20 g
Latte intero a temperatura ambiente	80 g
Lievito di birra secco	4 g
Farina mix di manitoba e	00150 g
Zucchero	20 g
Uova (circa 1)	60 g
Burro ammorbidito a temperatura ambiente	30 g
Farina mix di manitoba e	00100 g
Zucchero	20 g
Uova (circa 1)	60 g
Burro ammorbidito a temperatura ambiente	30 g
Farina mix di manitoba e	00200 g
Zucchero	40 g
Uova (circa 1)	56 g
Sale fino	10 g
Baccello di vaniglia	1
Scorza d'arancia	1
Scorza di limone	1
Rum bianco	10 g
Burro ammorbidito a temperatura ambiente	40 g
Albumi	30 g
Zucchero a velo	20 g
Granella di zucchero	20 g
