Cookies	 6 oz (180 g) 
Butter	 ½ cup (100 g) 
Cow's milk ricotta cheese	 3 cups (500 g) - 
Cream cheese	 1 cup (250 g) - 
Heavy cream	 ½ cup (100 g) 
Powdered sugar	 1 cup (150 g) 
Gelatin	 0.33 oz (10 g) - 
Lemon peel	 1 - 
Blackberries	 1 cup (190 g) 
Blueberries	 1 cup (180 g) 
Raspberries	 1 cup (180 g) 
Currants	 1 cup (135 g) 
Powdered sugar	 1 cup (100 g) 
Lemon juice	 5 tbsp (70 g) 
Cornstarch	 5 tbsp (35 g) 
Berries	 1 cup (280 g) 
Berries	 5 tbsp (50 g) 
Mint	 to taste 
