ingredient	quantity
Strutto	100 g
Pepe nero	q.b.
Acqua	280 ml
Farina Manitoba	150 g
Lievito di birra fresco (oppure disidratato 3 gr)	12 g
Farina 00	350 g
Sale fino	q.b.
Olio extravergine d'oliva per spennellare	q.b.
Mortadella in una sola fetta	150 g
Salame napoletano	150 g
Prosciutto cotto in una sola fetta	100 g
Scamorza (provola) dolce	200 g
Groviera	150 g
Montasio	150 g
