Panna di soia	 (da montare) 300 g 
Zucchero di canna	 35 g 
Baccello di vaniglia	 1 
Tofu	 400 g 
Fecola di patate	 70 g 
Farina 00	 180 g 
Olio extravergine d'oliva	 120 g 
Zucchero	 100 g 
Latte di riso	 (a temperatura ambiente) 140 g 
Lievito in polvere per dolci	 12 g 
Caffè	 (espresso) 250 g 
Cioccolato fondente	 (in riccioli) 60 g 
