ingredient	quantity
Farina 00	80 g
Uova 1 da	55 g
Latte intero	170 g
Burro	40 g
Sale fino	q.b.
Ricotta vaccina	500 g
Spinaci già puliti	300 g
Grana Padano DOP da grattugiare	50 g
Olio extravergine d'oliva	70 g
Aglio	1 spicchio
Sale fino	q.b.
Pepe nero	q.b.
Latte intero	500 g
Burro	50 g
Farina 00	50 g
Sale fino	q.b.
Noce moscata	q.b.
Grana Padano DOP	1 cucchiaio
