ingredient	quantity
Burro a temperatura ambiente	250 g
Zucchero muscovado	250 g
Uova (circa 4)	230 g
Farina 00	175 g
Lievito in polvere per dolci	16 g
Uva passa	175 g
Frutti di bosco disidratati	175 g
Ciliegie candite	70 g
Frutta candita mista	50 g
Scorza di limone	½
Cannella in polvere	1 g
Noce moscata in polvere	1 g
Zenzero in polvere	1 g
Farina di mandorle	250 g
Zucchero a velo	250 g
Albumi (di circa 2 uova medie)	60 g
Essenza di mandorla amara	1 cucchiaino
Burro	q.b.
Zucchero a velo	q.b.
Confettura di albicocche	q.b.
