epoch	train_loss	train_f1	train_exact	dev_loss	dev_f1	dev_exact	test_loss	test_f1	test_exact
1	1.8295321789729662	49.481485312136286	42.5414364640884	0.390035148790997	92.44306418219462	89.1304347826087	0	0	0
2	0.3801451663985766	70.9595008775888	65.19337016574586	0.2986068370266129	89.2825773260556	85.8695652173913	0	0	0
3	0.21522182797323602	78.94976108668159	74.58563535911603	0.3025609840532643	90.31881966664577	87.68115942028986	0	0	0
4	0.11750214844324641	83.51710902863918	79.8342541436464	0.38706470609126287	90.68871949306732	88.04347826086956	0	0	0
