epoch	train_loss	train_f1	train_exact	dev_loss	dev_f1	dev_exact	test_loss	test_f1	test_exact
1	0.8448937294171166	82.82649293092629	80.11049723756906	0.04568556590896586	99.56521739130434	97.82608695652173	0	0	0
2	0.049878305314335125	91.19839072574553	89.22651933701657	0.0115026930788704	99.42028985507245	97.82608695652173	0	0	0
3	0.024078511479902417	94.07087312962531	92.63351749539595	0.012717362588180391	99.22705314009663	97.10144927536231	0	0	0
4	0.014141878850233242	95.52553053782671	94.33701657458563	0.015052359944409387	99.03985507246378	96.73913043478261	0	0	0
