ingredient	quantity
Biscotti secchi al cioccolato	200 g
Burro	80 g
Formaggio fresco spalmabile	400 g
Ricotta vaccina	400 g
Panna fresca liquida	300 ml
Zucchero a velo	4 cucchiai
Gelatina in fogli	6 g
Baccello di vaniglia	1
Zucchero	80 g
Farina 00	20 g
Frumina	20 g
Uova medie	4
Cacao amaro in polvere	15 g
Miele	1 cucchiaino
Lievito in polvere per dolci	2 g
Sale fino	1 pizzico
Cioccolato bianco	150 g
Latte intero	150 ml
Panna fresca liquida	150 ml
Zucchero	30 g
Gelatina in fogli	6 g
Gocce di cioccolato fondente	100 g
