ingredient	quantity
Farina 00	250 g
Uova (circa 3 medie) a temperatura ambiente	165 g
Zucchero di canna	160 g
Burro	100 g
Panna fresca liquida a temperatura ambiente	100 g
Gocce di cioccolato fondente	150 g
Lievito in polvere per dolci	12 g
Scorza d'arancia	½
Sale fino	1 pizzico
Burro	q.b.
Farina 00	q.b.
