Rolled oats	 1 cup (125 g) 
Wholegrain flour	 1 cup (125 g) 
Butter	 1 stick (100 g) - freddo 
Muscovado sugar	 4 tbsp (35 g) 
Sugar	 3 tbsp (35 g) 
Fine salt	 1 pinch 
Golden delicious apples	 0.5 lb (200 g) 
Muscovado sugar	 2 tbsp (20 g) 
Cinnamon powder	 to taste 
Chopped hazelnuts	 2 tbsp (20 g) 
