ingredient	quantity
Farina di nocciole di Giffoni	138 g
Uova (circa 3 grandi)	175 g
Zucchero	100 g
Burro	75 g
Farina 00	45 g
Baccello di vaniglia un	terzo
Granella di nocciole	q.b.
Pere abate (oppure le pennate di Agerola)	350 g
Zucchero	50 g
Succo di limone	20 g
Distillato di pere	20 g
Amido di mais (maizena)	10 g
Olio extravergine d'oliva	q.b.
Baccello di vaniglia un	terzo
Acqua	100 g
Zucchero	65 g
Distillato di pere	12 g
Rum	70%12 g
Baccello di vaniglia (solo la bacca)	1
Ricotta di bufala freschissima	200 g
Ricotta vaccina freschissima	200 g
Panna fresca liquida fredda di frigo (circa 4°)	125 g
Zucchero	92 g
Gelatina in fogli	10 g
Baccello di vaniglia un	terzo
Pere abate piccola	1
Zucchero	20 g
Zucchero a velo per decorare	q.b.
Zucchero	100 g
Miele di acacia	25 g
Acqua	60 g
