Paccheri pasta	 0.75 lb (320 g) 
Swordfish	 1 lb (500 g) 
Mint	 to taste 
Round eggplants	 ½ (0.5 g) 
Garlic	 1 clove 
Extra virgin olive oil	 to taste 
Fine salt	 to taste 
Black pepper	 to taste 
Brandy	 3 tbsp (44 g) 
Red Tropea onions	 ½ 
Datterino tomatoes	 0.66 lb (300 g) 
Basil	 to taste 
White wine	 ⅔ cup (135 g) 
Breadcrumbs	 1 ¼ cup (150 g) 
Parsley	 to taste 
Extra virgin olive oil	 to taste 
