Farina Manitoba	 185 g 
Acqua	 100 g 
Lievito di birra fresco	 10 g 
Farina 00	 400 g 
Latte intero	 a temperatura ambiente 125 g 
Burro	 morbido 100 g 
Sale fino	 15 g 
Zucchero	 10 g 
Zucchine	 500 g 
Caciocavallo	 150 g 
Mandorle in scaglie	 100 g 
Scalogno	 1 
Timo	 1 rametto 
Olio extravergine d'oliva	 q.b. 
Sale fino	 q.b. 
Pepe nero	 q.b. 
Acqua	 30 g 
Olio extravergine d'oliva	 30 g 
