ingredient	quantity
Zucchero	150 g
Farina 00	150 g
Albumi	150 g
Tuorli	75 g
Chicchi di caffè	q.b.
Panna fresca liquida	q.b.
Zucchero a velo	q.b.
Caffè	75 ml
Caffè in polvere	2 cucchiaini
Panna fresca liquida (più qualche cucchiaio)	175 ml
Zucchero	100 g
Burro	100 g
Tuorli	6
Gelatina in fogli	6 g
Acqua	100 ml
Zucchero	100 g
Caffè	25 ml
