Casarecce pasta	 14 oz (320 g) 
Musky octopus	 1.1 lbs (500 g) - (cleaned) 
Eggplant	 11 oz (300 g) 
Coarse salt	 1 ¾ tsp (15 g) 
Shallot	 1 oz (20 g) 
Extra virgin olive oil	 1 ½ tbsp (20 g) 
Cherry tomatoes	 7 oz (200 g) 
White wine	 ½ cup (100 g) 
Fresh chili pepper	 1 
Parsley	 0.5 oz (15 g) 
Fine salt	 to taste 
Vegetable oil	 2 cups (400 g) 
