ingredient	quantity
Farina di mandorle	50 g
Farina 00	150 g
Uova	4
Zucchero	200 g
Miele millefiori	20 g
Olio extravergine d'oliva	135 ml
Succo d'arancia	80 ml
Scorza d'arancia	1
Lievito in polvere per dolci	8 g
Sale fino	1 pizzico
Cacao amaro in polvere	50 g
Farina 00	150 g
Succo d'arancia	80 ml
Scorza d'arancia	1
Zucchero	200 g
Uova	4
Sale fino	1 pizzico
Olio extravergine d'oliva	135 ml
Miele millefiori	20 g
Lievito in polvere per dolci	8 g
Marmellata di arance	200 g
Panna fresca liquida	200 g
Cioccolato fondente	200 g
Scorza d'arancia	q.b.
