ingredient	quantity
Manzo macinato	250 g
Maiale macinato	250 g
Erbette	500 g
Parmigiano Reggiano DOP da grattugiare	130 g
Pangrattato	30 g
Uova	1
Aglio	1 spicchio
Origano	2 rametti
Timo	2 rametti
Maggiorana	2 rametti
Sale fino	1 pizzico
Pepe nero	q.b.
Carote	200 g
Patate	200 g
Broccoli romaneschi	200 g
Zucchine	200 g
Pomodorini ciliegino	200 g
Timo	2 rametti
Rosmarino	2 rametti
Maggiorana	1 rametto
Salvia	2 foglie
Alloro	1 foglia
Aglio	1 spicchio
Pangrattato	1 cucchiaio
Olio extravergine d'oliva	q.b.
Sale fino	q.b.
