ingredient	quantity
Lasagne all'uovo	200 g
Olio extravergine d'oliva	20 g
Grana Padano DOP da grattugiare	50 g
Rosmarino	1 rametto
Zucca	500 g
Brodo vegetale	400 g
Porri	1
Olio extravergine d'oliva	30 g
Sale fino	q.b.
Pepe nero	q.b.
Salsiccia	460 g
Vino bianco	100 ml
Semi di finocchio	1 pizzico
Rosmarino	1 rametto
Brodo vegetale	50 ml
Sale fino	q.b.
Olio extravergine d'oliva	20 g
Latte (tiepido)	500 ml
Farina 00	50 ml
Burro	50 g
Noce moscata	q.b.
Sale fino	q.b.
Funghi porcini	500 g
Aglio	1 spicchio
Brodo vegetale	50 ml
Olio extravergine d'oliva	30 g
Sale fino	q.b.
Pepe nero	q.b.
