Red potatoes	 2 lbs (1 kg) 
Flour 00	 2 ⅔ cups (300 g) 
Eggs	 1 - (medium) 
Fine salt	 1 pinch 
Remilled durum wheat semolina	 to taste - (for dusting the working surface) 
Tomato puree	 2 ¾ cups (700 g) 
Basil	 6 leaves 
Garlic	 2 cloves 
Extra virgin olive oil	 to taste 
Fine salt	 to taste 
Eggplant	 1.5 lbs (650 g) 
Rice flour	 ½ cup (60 g) 
Peanut seed oil	 to taste - (for frying) 
Provola cheese	 2 ⅔ cups (300 g) 
Grana Padano PDO cheese	 ¾ cup (80 g) 
