Wholegrain Spaghetti pasta	 11.3 oz (320 g) 
Fresh chili pepper	 1.3 tsp (6 g) 
Peeled tomatoes	 3 ¼ cups (400 g) 
Black olives	 ¼ cup (40 g) - pitted 
Fior di latte mozzarella cheese	 ¾ cup (100 g) 
Salted capers	 1 ½ tbsp (20 g) - rinsed 
Red onions	 ⅔ cup (70 g) 
Fine salt	 to taste 
Extra virgin olive oil	 to taste 
Oregano	 to taste - fresh 
