Patate	 500 g 
Fecola di patate	 125 g 
Lievito istantaneo per preparazioni salate	 3 g 
Uova	 55 g 
Olio extravergine d'oliva	 10 g 
Sale fino	 q.b. 
Pepe nero	 q.b. 
Spinaci	 250 g 
Mozzarella	 100 g 
Provola	 grattugiata 100 g 
Prosciutto cotto	 100 g 
Olio extravergine d'oliva	 q.b. 
Peperoncino secco	 q.b. 
Sale fino	 q.b. 
