ingredient	quantity
Uova (medie)	3
Farina 00	220 g
Cioccolato fondente (da tritare)	200 g
Cacao amaro in polvere	30 g
Zucchero	250 g
Burro	250 g
Latte intero	100 g
Caffè solubile	1 cucchiaino
Lievito in polvere per dolci	6 g
Scorza d'arancia	1
Uova (medie)	2
Zucchero	180 g
Olio di semi di girasole	90 g
Acqua	95 g
Farina 00	150 g
Fecola di patate	50 g
Lievito in polvere per dolci	6 g
Sale fino	q.b.
Baccello di vaniglia	1
Burro (a temperatura ambiente)	175 g
Zucchero	75 g
Acqua	50 g
Tuorli	90 g
Baccello di vaniglia	1
Zucchero a velo	75 g
Pasta di zucchero	300 g
Matite alimentari ciocco caramel	q.b.
Decorazione alimentare al cioccolato	q.b.
