ingredient	quantity
Pancarrè	10 fette
Salmone affumicato	5 fette
Uova medie	3
Edamer	15 fette
Brie	15 fette
Gamberetti	5
Cetriolini sottaceto	5
Prosciutto crudo	5 fette
Prosciutto cotto	5 fette
Tonno sott'olio	25 g
Olive nere	3
Olive verdi	10
Acciughe sott'olio filetti	5
Salame	5 fette
Capperi sott'aceto	5
Wurstel	1
Peperoni sott'aceto gialli e rossi a pezzetti	10
Tuorli a temperatura ambiente	1
Succo di limone	12 ml
Olio di semi	125 ml
Aceto	1,5 g
Pepe nero	q.b.
Sale fino	q.b.
Gelatina preparato	25 g
Acqua	500 ml
Succo di limone	20 g
