Riso Carnaroli	 320 g 
Cozze	 1 kg 
Vongole	 500 g 
Calamari	 già puliti 350 g 
Gamberi	 (le code) 300 g 
Prezzemolo	 1 ciuffo 
Aglio	 2 spicchi 
Vino bianco	 90 g 
Brodo vegetale	 q.b. 
Olio extravergine d'oliva	 q.b. 
Burro	 freddo 70 g 
Cipollotto fresco	 50 g 
Sedano	 25 g 
Carote	 25 g 
Peperoncino	 1 
Sale fino	 q.b. 
Pepe nero	 q.b. 
