Potatoes	 2 lbs (1 kg) 
Flour 00	 3 cups (300 g) 
Eggs	 1 - medium 
Fine salt	 to taste 
Stracchino cheese	 1 cup (200 g) 
Spinach	 1 lb (400 g) 
Extra virgin olive oil	 2 tbsp (20 g) 
Fresh liquid cream	 3 tbsp (40 g) 
Parmigiano Reggiano PDO cheese	 to taste - for grating 
Fine salt	 to taste 
Black pepper	 to taste 
