Desalted cod	 2.66 lbs (1.2 kg) 
Potatoes	 1 lb (450 g) 
Tomato puree	 2 ¾ cups (700 g) 
Lemon peel	 1 
Breadcrumbs	 ¾ cup (100 g) 
Thyme	 6 sprigs 
Extra virgin olive oil	 to taste 
Basil	 6 leaves 
Sugar	 1 ¼ tsp (5 g) 
Garlic	 1 clove 
Fine salt	 to taste 
Black pepper	 to taste 
Red pepper	 to taste 
White pepper	 to taste 
Green pepper	 to taste 
