ingredient	quantity
Farina Manitoba	250 g
Lievito madre (rinfrescato 3 volte nell'arco di 24 ore)	65 g
Lievito di birra fresco	2 g
Acqua a temperatura ambiente	145 g
Zucchero	65 g
Malto	4 g
Tuorli a temperatura ambiente	45 g
Farina Manitoba	65 g
Zucchero	50 g
Burro a pomata	70 g
Lievito di birra fresco	2 g
Amarene sciroppate	150 g
Sale fino	2 g
Miele di acacia	15 g
Cioccolato fondente al 55%	100 g
Tuorli a temperatura ambiente	55 g
Acqua a temperatura ambiente	15 g
Farina Manitoba	15 g
Burro	10 g
Cioccolato fondente al 55%	150 g
Panna fresca liquida	100 g
Miele di acacia	20 g
Granella di zucchero	q.b.
