ingredient	quantity
Biscotti secchi al cioccolato	200 g
Burro	100 g
Cioccolato fondente	50 g
Formaggio fresco spalmabile	250 g
Gelatina in fogli	3 g
Panna fresca liquida	80 ml
Zucchero a velo	20 g
Cioccolato al latte	50 g
Formaggio fresco spalmabile	250 g
Gelatina in fogli	3 g
Panna fresca liquida	80 ml
Zucchero a velo	20 g
Cioccolato bianco	50 g
Formaggio fresco spalmabile	250 g
Gelatina in fogli	3 g
Panna fresca liquida	80 ml
Zucchero a velo	20 g
Cioccolato fondente in scaglie	q.b.
Cioccolato al latte in scaglie	q.b.
Cioccolato bianco in scaglie	q.b.
