ingredient	quantity
Olio di semi di girasole	100 ml
Latte di soia	50 ml
Sale fino	1 pizzico
Aceto	1 cucchiaio
Olio di semi di girasole	100 ml
Latte di soia	50 ml
Barbabietole precotte	100 g
Sale fino	1 pizzico
Aceto	1 cucchiaio
Olio di semi di girasole	100 ml
Latte di soia	50 ml
Senape	50 g
Sale fino	1 pizzico
Aceto	1 cucchiaio
Olio di semi di girasole	100 ml
Latte di soia	50 ml
Concentrato di pomodoro	40 g
Aceto	1 cucchiaio
Sale fino	1 pizzico
Olio di semi di girasole	100 ml
Latte di soia	50 ml
Erba cipollina	8 g
Aceto	1 cucchiaio
Sale fino	1 pizzico
