Water	 to taste 
Carrots	 3 oz (80 g) 
Fine salt	 to taste 
Borlotti beans	 0.5 lb (200 g) 
Cauliflower	 0.66 lb (300 g) - cleaned 
Red onions	 3 oz (80 g) 
Black pepper	 to taste 
Pumpkin	 0.5 lb (250 g) - cleaned 
Peas	 0.5 lb (200 g) 
White zucchini	 5 oz (150 g) 
Celery	 2 oz (60 g) 
Extra virgin olive oil	 ¼ cup (50 g) 
Rosemary	 1 sprig 
Bay leaves	 2 leaves 
Potatoes	 0.75 lb (330 g) 
Cluster tomatoes	 1 lb (350 g) 
Leeks	 5 oz (150 g) 
Extra virgin olive oil	 to taste 
