ingredient	quantity
Farina 00	500 g
Zucchero a velo	200 g
Burro freddo	200 g
Uova medie	2
Tuorli	1
Scorza di limone da grattugiare	½
Sale fino	1 pizzico
Ricotta di pecora	600 g
Zucchero	200 g
Gocce di cioccolato fondente	100 g
Biscotti secchi	100 g
Scorza di limone da grattugiare	½
Albumi	1
Zucchero a velo	q.b.
