ingredient	quantity
Burro freddo di frigo	115 g
Acqua fredda	50 g
Farina 00	225 g
Sale fino	1 g
Cannella in polvere	½ cucchiaino
Zenzero in polvere	½ cucchiaino
Noce moscata da grattugiare	q.b.
Panna fresca liquida	100 g
Tuorli (uno di uova medie)	15 g
Amido di mais (maizena)	5 g
Latte intero	100 g
Zucchero	15 g
Baccello di vaniglia	½
Nutella®	120 g
Lamponi	24
