ingredient	quantity
Pane casereccio (tipo pugliese)	500 g
Mozzarella (fiordilatte)	360 g
Zucchine	80 g
Basilico	3 g
Mandorle	3 g
Pinoli	10 g
Parmigiano Reggiano DOP (da grattugiare)	10 g
Pecorino (da grattugiare)	10 g
Olio extravergine d'oliva	20 g
Sale fino	1 pizzico
Aglio	½ spicchio
Basilico	25 g
Aglio	½ spicchio
Pinoli	7 g
Mandorle	3 g
Parmigiano Reggiano DOP (da grattugiare)	35 g
Pecorino (da grattugiare)	15 g
Olio extravergine d'oliva	50 g
Sale fino	1 pizzico
Uova (medie)	3
Latte intero	100 ml
Sale fino	1 pizzico
Pepe nero	1 pizzico
Farina 00	150 g
Olio di semi	1 l
