ingredient	quantity
Farina di mais	125 g
Farina 00	125 g
Farina integrale	70 g
Lievito di birra secco	3 g
Acqua tiepida	250 ml
Acqua bollente	150 ml
Bicarbonato	2 g
Manzo	1 kg
Berberè	20 g
Pomodori pelati	1 kg
Cipolle ramate	3
Aglio	2 spicchi
Sale fino	q.b.
Pepe nero	q.b.
Acqua tiepida (se occorre)	50 ml
Ceci precotti	200 g
Fagioli cannellini precotti	200 g
Lenticchie precotte	100 g
Insalata	100 g
Spinaci	100 g
Pomodori ramati	2
Prezzemolo da tritare	q.b.
Sale fino	q.b.
Pepe nero	q.b.
Olio extravergine d'oliva	q.b.
