ingredient	quantity
Burro	120 g
Farina 00	120 g
Zucchero	100 g
Latte condensato	70 g
Uova medio	1
Lievito in polvere per dolci	3 g
Baccello di vaniglia	1
Scorza di limone non trattato	1
Sale fino	1 pizzico
Zucchero	225 g
Burro	170 g
Sciroppo alla menta	50 g
Sciroppo di amarene	50 g
Latte condensato	75 g
Acqua	75 ml
Panna fresca liquida	50 ml
Tuorli	7
Gelatina in fogli	10 g
