ingredient	quantity
Spaghetti	320 g
Gamberoni (da pulire)	900 g
Pomodorini ciliegino	180 g
Vino bianco	50 g
Aglio	2 spicchi
Peperoncino secco	1
Scorza di limone	1
Prezzemolo da tritare	q.b.
Sale fino	q.b.
Pepe bianco	q.b.
Acqua	1 l
Scalogno	2
Pomodorini ciliegino	100 g
Vino bianco	50 g
Prezzemolo	1 ciuffo
Pepe nero in grani	5
Olio extravergine d'oliva	q.b.
