Flour 00	 ½ cup (250 g) 
Eggs	 124 (124 g) - (about 2 eggs and 1 yolk) 
Semolina	 to taste - for dusting 
Spinach	 ½ cup (250 g) 
Cow's milk ricotta cheese	 0.56 cup (125 g) 
Parmigiano Reggiano PDO cheese	 3.8 tbsp (50 g) - to be grated 
Nutmeg	 to taste 
Fine salt	 to taste 
Black pepper	 to taste 
