Fusilli pasta	 11 oz (320 g) 
Salmon steaks	 9 oz (260 g) 
Extra virgin olive oil	 1 ½ tbsp (20 g) 
Fine salt	 to taste 
Black pepper	 to taste 
Lemons	 1 - juice of half 
Zucchini	 7 oz (200 g) 
Extra virgin olive oil	 0.6 cup (125 g) 
Pine nuts	 1 oz (30 g) 
Almonds	 0.35 oz (10 g) 
Basil	 0.35 oz (10 g) 
Parmigiano Reggiano PDO cheese	 ½ cup (30 g) - (grated) 
Fine salt	 to taste 
