Trippa	 cuffia 1,5 kg 
Pecorino romano	 q.b. 
Pomodori pelati	 San Marzano 1 kg 
Carote	 1 
Cipolle bianche	 ½ 
Olio extravergine d'oliva	 q.b. 
Vino bianco	 70 g 
Menta	 romana q.b. 
Sale fino	 q.b. 
Pepe nero in grani	 q.b. 
Menta essiccata	 q.b. 
Grasso di prosciutto crudo	 50 g 
Sale grosso	 q.b. 
