Calamarata pasta	 0.75 lb (320 g) 
Swordfish	 11 (300 g) - steaks 
Extra virgin olive oil	 2 ½ tbsp (30 g) 
White wine	 1 ¼ tbsp (20 g) 
Garlic	 1 clove 
Parsley	 3 bunches 
Black pepper	 to taste 
Fine salt	 to taste 
Cherry tomatoes	 1 lb (400 g) 
Extra virgin olive oil	 2 ½ tbsp (30 g) 
Capers in vinegar	 0.5 oz (10 g) 
Garlic	 1 clove 
Fine salt	 to taste 
Black pepper	 to taste 
