Sovracosce di pollo	 (da disossare) 1,2 kg 
Yogurt greco	 100 g 
Acqua	 q.b. 
Coriandolo	 fresco q.b. 
Curcuma in polvere	 2 cucchiaini 
Paprika affumicata	 2 cucchiaini 
Cannella in polvere	 1 cucchiaino 
Semi di coriandolo	 in polvere 1 cucchiaino 
Pepe di Caienna	 1 cucchiaino 
Pepe nero	 1 cucchiaino 
Sale fino	 1 cucchiaino 
Cipolle bianche	 1 
Aglio	 2 spicchi 
Zenzero fresco	 20 g 
Peperoncino fresco	 2 
Olio extravergine d'oliva	 q.b. 
