Spaghetti	 0.7 lb (320 g) 
Mussels	 2.25 lbs (1 kg) 
Clams	 2.25 lbs (1 kg) 
Calamari (squid)	 0.66 lb (300 g) 
Scampi	 8 
Cherry tomatoes	 0.66 lb (300 g) 
Extra virgin olive oil	 4 tbsp 
Garlic	 1 clove 
Parsley	 1 sprig - to be chopped 
White wine	 3 tbsp (40 g) 
Fine salt	 to taste 
Black pepper	 to taste 
