ingredient	quantity
Caciocavallo	100 g
Prosciutto cotto	50 g
Pomodori secchi sott'olio	50 g
Burro	50 g
Farina 00	100 g
Acqua ghiacciata	35 ml
Triplo concentrato di pomodoro	1 cucchiaio
Sale fino	q.b.
Burro	50 g
Farina 00	120 g
Acqua ghiacciata	35 ml
Aglio	1 spicchio
Spinaci	50 g
Sale fino	q.b.
Olio extravergine d'oliva	q.b.
Albumi	1
Semi di papavero	q.b.
