ingredient	quantity
Pane casereccio	1
Olio extravergine d'oliva	q.b.
Burrata	200 g
Melanzane	130 g
Pomodorini datterini	150 g
Zucchero di canna	10 g
Sale fino	3 g
Timo	q.b.
Menta	q.b.
Olio extravergine d'oliva	q.b.
Salsiccia	200 g
Cipolle bianche	1
Aceto balsamico	30 ml
Acqua	½ bicchiere
Olio extravergine d'oliva	q.b.
Gamberi	120 g
Zucchine	2
Mandorle pelate	80 g
Paprika	q.b.
Basilico	q.b.
Sale fino	q.b.
Olio extravergine d'oliva	q.b.
