Farina 00	 350 g 
Zucchero	 160 g 
Burro	 freddo di frigo 110 g 
Miele	 50 g 
Uova	 1 
Zenzero in polvere	 5 g 
Cannella in polvere	 5 g 
Chiodi di garofano macinati	 1 pizzico 
Noce moscata	 1 pizzico 
Bicarbonato	 ¼ cucchiaino 
Sale fino	 1 pizzico 
Zucchero a velo	 150 g 
Albumi	 1 
Zuccherini	 colorati q.b. 
