ingredient	quantity
Farina 00	180 g
Cacao amaro in polvere	50 g
Zenzero in polvere	1 cucchiaino
Cannella in polvere	1 cucchiaino
Noce moscata	1 pizzico
Mirtilli rossi disidratati	50 g
Lievito in polvere per dolci	8 g
Zucchero di canna	180 g
Uova a temperatura ambiente	6
Burro a temperatura ambiente	200 g
Sale fino	1 pizzico
Cioccolato fondente da fondere	150 g
Cioccolato bianco	200 g
Panna fresca liquida	100 g
Mirtilli rossi disidratati	30 g
Zucchero	2 cucchiaini
Zucchero di canna	2 cucchiaini
Rosmarino	q.b.
Cannella in polvere	1 cucchiaino
