Riso Carnaroli	 320 g 
Olio extravergine d'oliva	 ½ cucchiaio 
Burro	 20 g 
Cipolle	 ½ 
Salsiccia di Bra	 300 g 
Brodo di carne	 1 l 
Vino bianco	 80 g 
Cipollotto fresco	 1 
Olio extravergine d'oliva	 10 g 
Burro	 20 g 
Nebbiolo	 125 g 
Rosmarino	 1 rametto 
Alloro	 1 foglia 
Burro	 40 g 
Parmigiano Reggiano DOP	 60 g 
