ingredient	quantity
Farina Manitoba	250 g
Farina di farro	150 g
Farina 00	100 g
Burro morbido	150 g
Latte intero	125 ml
Acqua	50 ml
Zucchero	20 g
Uova	2
Lievito di birra secco	4 g
Sale fino	8 g
Tuorli	1
Mascarpone	1 kg
Panna fresca liquida	550 ml
Pisellini	100 g
Vino bianco	30 ml
Gelatina in fogli	12 g
Zafferano	½ cucchiaino
Pepe nero	q.b.
Sale fino	q.b.
Noce moscata	q.b.
Olio extravergine d'oliva	q.b.
Gamberi	800 g
Salmone affumicato a fette	200 g
Tonno affumicato a fette	100 g
Acqua	1 l
Aglio	1 spicchio
Semi di papavero	q.b.
Aneto	q.b.
