ingredient	quantity
Petto di pollo 100% italiano	300 g
Bacon	4 fette
Panini da hamburger con semi	4
Insalata	4 foglie
Farina 00	200 g
Acqua	330 g
Birra chiara	50 g
Scorza di limone	5 g
Sale fino	10 g
Maggiorana secca	q.b.
Timo secco	q.b.
Pepe bianco	1 pizzico
Semola di grano duro	q.b.
Pane secco, macinato grossolanamente	500 g
Olio di semi di girasole	q.b.
Pomodori gialli campani freschi	350 g
Cipolle dorate	1
Zucchero	50 g
Amido di mais (maizena)	10 g
Aceto di vino bianco	50 g
Acqua	100 g
Sale fino	q.b.
Olio extravergine d'oliva	q.b.
