ingredient	quantity
Gamberi	130 g
Aglio	1 spicchio
Olio extravergine d'oliva	q.b.
Formaggio fresco spalmabile	50 g
Pepe nero	q.b.
Basilico (facoltativo)	q.b.
Sale fino	q.b.
Erba cipollina	q.b.
Formaggio fresco spalmabile	60 g
Sale fino	q.b.
Pepe nero	q.b.
Pancarrè	90 g
Prosciutto cotto fetta	1
Salmone	40 g
Basilico	q.b.
Scorza di limone	1
Pepe nero	q.b.
Zucchine rondelline	8
Erba cipollina per decorare	q.b.
Basilico	q.b.
Cetrioli mignon	5
Gamberi (con la coda)	5
Pomodorini ciliegino	4
Salame fette tagliate in quarti	2
Prosciutto crudo fetta	1
Olive nere tagliata a rondelle	1
Pane di segale	150 g
Zucchine rondelline	10
Maionese	30 g
